gene	FF6wks	FF6wks	FF6wks	FMC6wks	FMC6wks	FMC6wks
1700008K24Rik	0	0	0	1	0	2
1700008O03Rik	6	4	1	2	4	2
1700008P02Rik	0	0	0	0	0	0
1700009C05Rik	0	0	0	0	0	0
1700009J07Rik	0	0	0	0	0	0
1700009N14Rik	0	0	0	0	0	0
1700009P17Rik	81	134	118	78	109	100
1700010B08Rik	1	0	1	0	0	0
1700010D01Rik	1	0	1	0	0	0
1700010I02Rik	0	0	0	1	1	3
1700010I14Rik	14	7	8	8	8	14
1700010J16Rik	2	1	0	0	2	0
1700010K23Rik	0	0	0	0	0	0
1700011A15Rik	0	0	1	0	0	0
1700011B04Rik	0	0	1	0	0	0
1700011E24Rik	0	0	1	0	0	0
1700011H14Rik	0	2	1	2	0	0
1700011I03Rik	6	10	3	9	4	7
1700011J10Rik	21	31	20	43	27	34
1700011L22Rik	0	0	4	0	1	2
1700011M02Rik	0	2	0	0	0	0
1700012A03Rik	0	1	0	0	0	0
1700012B07Rik	0	0	0	1	1	2
1700012B09Rik	11	9	10	6	8	10
1700012B15Rik	37	33	34	26	37	46
1700012D01Rik	4	6	9	9	6	8
1700012D14Rik	6	11	5	6	8	14
1700012I11Rik	0	2	1	1	2	0
1700012L04Rik	0	0	0	0	0	0
1700012P22Rik	2	1	1	1	0	0
1700013D24Rik	0	1	0	0	0	0
1700013F07Rik	6	8	2	7	4	4
1700013G23Rik	4	7	8	5	4	6
1700013G24Rik	1	0	0	0	0	0
1700013H16Rik	0	0	0	0	1	0
1700015E13Rik	5	0	3	3	4	0
1700015F17Rik	0	0	0	0	0	0
1700015G11Rik	0	0	1	1	1	0
1700016C15Rik	0	0	0	1	0	0
1700016D06Rik	0	2	2	0	0	2
1700016G22Rik	0	1	0	3	0	0
1700016H13Rik	1	0	0	0	0	1
1700016K19Rik	10	19	4	11	12	9
1700016L04Rik	4	0	1	0	0	2
1700016L21Rik	0	1	0	3	0	1
1700016P04Rik	0	0	0	0	0	0
1700017B05Rik	71	63	65	91	66	65
1700017D01Rik	2	0	1	0	0	1
1700017G19Rik	3	2	5	2	5	1
1700017J07Rik	0	0	0	0	1	0
1700017N19Rik	0	0	2	3	0	0
1700018A04Rik	0	5	0	0	1	0
1700018B08Rik	0	0	0	0	1	0
1700018B24Rik	1	2	2	1	0	2
1700018C11Rik	1	1	0	1	0	0
1700018F24Rik	1	0	0	0	0	1
1700018G05Rik	3	1	1	1	1	0
1700018L02Rik	3	4	2	7	5	5
1700019A02Rik	0	3	0	0	2	0
1700019B03Rik	1	1	1	2	0	1
1700019B21Rik	0	0	0	0	0	0
1700019D03Rik	16	19	16	24	19	21
1700019E08Rik	0	0	0	0	0	0
1700019G17Rik	100	82	84	151	136	167
1700019G24Rik	1	2	2	2	0	1
1700019L03Rik	14	15	11	9	19	6
1700019M22Rik	0	0	0	0	0	3
1700019N19Rik	0	2	0	0	0	0
1700019O17Rik	1	0	1	0	0	0
1700020A23Rik	4	2	4	1	0	2
1700020D05Rik	28	17	15	13	17	11
1700020G17Rik	1	0	0	0	0	0
1700020I14Rik	240	160	138	155	186	153
1700020L24Rik	13	6	14	13	7	4
1700020M21Rik	0	0	0	0	1	0
1700020N01Rik	2	0	1	0	0	0
1700020N15Rik	0	0	0	0	0	0
1700020N18Rik	0	1	1	1	0	0
1700021F05Rik	125	173	115	185	109	166
1700021F07Rik	0	0	0	0	0	0
1700021K19Rik	446	532	426	566	454	428
1700021N21Rik	0	1	1	0	0	0
1700022A21Rik	0	0	0	0	0	0
1700022A22Rik	0	1	0	0	0	0
1700022E09Rik	0	1	0	0	0	0
1700022H16Rik	0	0	0	0	0	0
1700022I11Rik	5	3	4	5	6	2
1700022P22Rik	5	1	0	6	3	3
1700023A16Rik	1	2	0	2	2	0
1700023C21Rik	0	2	0	0	0	0
1700023E05Rik	5	1	3	1	2	1
1700023F02Rik	0	0	0	0	0	0
1700023F06Rik	4	5	7	5	9	3
1700023L04Rik	7	12	14	4	7	8
1700024B18Rik	2	3	1	0	3	2
1700024F13Rik	2	0	1	1	1	0
1700024G13Rik	5	2	3	3	3	4
1700024P03Rik	1	3	0	1	1	3
1700024P04Rik	0	0	0	0	0	0
1700024P16Rik	13	4	3	8	4	3
1700025B11Rik	0	0	0	1	0	0
1700025C18Rik	1	0	0	0	0	0
1700025E21Rik	0	0	0	2	1	0
1700025F22Rik	0	1	0	0	0	0
1700025F24Rik	2	0	0	0	0	0
1700025G04Rik	285	228	135	225	199	216
1700025K24Rik	1	0	0	0	0	0
1700025M24Rik	0	4	0	0	0	0
1700025N23Rik	2	1	0	7	2	1
1700026D08Rik	28	36	22	26	20	14
1700026D11Rik	1	0	0	0	0	0
1700026F02Rik	0	0	0	0	0	0
1700026L06Rik	2	4	3	2	2	2
1700027A15Rik	1	0	0	0	0	0
1700027F09Rik	0	0	0	2	2	0
1700027H10Rik	0	1	1	3	3	0
1700027I24Rik	0	0	0	1	0	0
1700027J07Rik	0	2	0	2	2	0
1700028B04Rik	0	2	0	0	0	0
1700028D13Rik	1	0	0	0	2	0
1700028E10Rik	3	9	3	13	3	2
1700028I16Rik	2	0	0	0	0	0
1700028J19Rik	2	2	0	2	2	2
1700028K03Rik	13	25	10	17	20	10
1700028M03Rik	0	0	0	0	0	0
1700028P14Rik	13	17	19	8	18	13
1700028P15Rik	2	1	0	0	0	0
1700029B22Rik	0	0	0	2	0	0
1700029F12Rik	0	0	0	1	0	0
1700029H14Rik	3	0	0	2	2	1
1700029I15Rik	2	2	4	2	2	2
1700029J03Rik	0	1	2	4	1	1
1700029J07Rik	51	50	48	38	50	51
1700029M20Rik	1	0	1	1	4	1
1700029N11Rik	0	0	1	0	0	0
1700029P11Rik	0	2	0	0	2	0
1700030A11Rik	0	0	0	0	0	0
1700030C10Rik	9	3	5	25	32	27
1700030F04Rik	0	0	0	0	2	0
1700030F18Rik	2	4	0	1	1	1
1700030J22Rik	27	40	21	34	31	36
1700030K09Rik	45	84	51	70	52	47
1700030L20Rik	6	6	2	5	1	3
1700030M09Rik	2	0	2	3	0	1
1700030N03Rik	0	0	0	0	0	0
1700030O20Rik	0	0	0	0	0	0
1700031A10Rik	0	1	0	1	0	0
1700031F05Rik	1	1	1	0	0	0
1700031M16Rik	0	5	1	1	0	3
1700031P21Rik	1	0	0	0	0	0
1700034E13Rik	2	0	0	0	0	0
1700034F02Rik	14	4	6	2	6	2
1700034G24Rik	1	2	3	1	0	0
1700034H15Rik	9	3	5	5	5	4
1700034I23Rik	3	5	8	7	7	3
1700034J05Rik	8	4	3	5	7	6
1700034K08Rik	0	0	0	0	0	0
1700034O15Rik	0	0	0	0	0	0
1700034P13Rik	0	0	0	3	1	3
1700036G14Rik	1	0	0	0	0	0
1700037C18Rik	15	17	8	8	12	16
1700037H04Rik	53	107	61	74	56	55
1700039E15Rik	1	3	0	0	1	0
1700039E22Rik	1	1	2	2	2	2
1700040L02Rik	12	5	13	12	15	12
1700040N02Rik	34	26	16	61	32	34
1700041C23Rik	0	0	0	0	0	0
1700041M19Rik	1	4	0	1	0	0
1700042B14Rik	0	0	0	0	0	0
1700042G07Rik	1	1	0	0	0	0
1700042G15Rik	0	1	0	0	4	1
1700042O10Rik	0	0	0	0	0	0
1700044C05Rik	0	0	0	1	0	0
1700044K03Rik	0	0	0	0	0	0
1700045H11Rik	1	0	1	0	0	0
1700045I19Rik	6	16	11	13	6	6
1700046C09Rik	0	0	1	4	1	0
1700047E10Rik	2	2	4	1	1	4
1700047G03Rik	0	0	1	3	0	1
1700047I17Rik2	0	0	0	0	0	0
1700047L14Rik	0	0	1	0	0	0
1700047M11Rik	39	45	37	66	27	39
1700048M11Rik	6	2	9	6	6	9
1700048O20Rik	22	33	17	44	19	28
1700049E15Rik	0	3	0	1	1	0
1700049E22Rik	0	0	0	0	0	0
1700049G17Rik	50	62	68	54	63	53
1700049L16Rik	0	0	0	1	0	0
1700051A21Rik	4	0	0	1	2	1
1700052I22Rik	0	0	0	0	0	0
1700052K11Rik	41	65	45	57	40	35
1700052N19Rik	99	136	126	168	123	120
1700054A03Rik	0	0	1	3	1	0
1700054K19Rik	0	0	1	0	0	0
1700054M17Rik	1	2	2	2	3	3
1700054O13Rik	1	0	0	0	0	0
1700055C04Rik	0	0	0	0	0	0
1700055N04Rik	0	1	1	0	0	1
1700056E22Rik	2	6	3	6	3	2
1700057G04Rik	0	1	0	0	0	0
1700057H15Rik	1	0	0	2	0	1
1700058G18Rik	1	0	0	1	0	0
1700060C16Rik	1	0	0	0	0	0
1700060C20Rik	0	0	0	0	0	0
1700061F12Rik	1	1	0	0	0	0
1700061G19Rik	2	5	1	2	2	3
1700061I17Rik	1	0	0	0	0	0
1700063A18Rik	0	0	0	0	0	0
1700063D05Rik	8	26	19	29	14	21
1700063O14Rik	0	0	0	0	0	0
1700064J06Rik	0	3	0	0	0	0
1700064M15Rik	0	0	0	0	0	0
1700065D16Rik	0	1	0	0	0	2
1700065I16Rik	2	0	1	0	0	0
1700065I17Rik	1	1	1	1	0	2
1700065J11Rik	0	0	0	0	1	0
1700065J18Rik	0	1	0	0	0	0
1700065O20Rik	0	0	0	0	0	0
1700066B17Rik	0	1	2	2	0	0
1700066B19Rik	3	0	0	3	1	4
1700066J24Rik	121	94	81	98	78	67
1700066M21Rik	137	122	90	158	142	192
1700066N21Rik	0	0	0	0	0	0
1700066O22Rik	0	1	1	1	1	2
1700067G17Rik	0	1	2	0	0	0
1700067K01Rik	4	3	1	9	3	1
1700067P10Rik	0	0	0	0	0	0
1700069L16Rik	1	0	0	0	0	0
1700069P05Rik	0	0	0	0	0	0
1700071K01Rik	3	8	3	1	3	2
1700071M16Rik	28	17	20	55	43	56
1700072B07Rik	0	0	0	1	0	0
1700072O05Rik	0	2	2	0	0	0
1700073E17Rik	16	31	29	21	20	14
1700074H08Rik	1	0	3	1	3	2
1700074P13Rik	2	3	2	0	1	3
1700080E11Rik	1	1	2	0	2	0
1700080N15Rik	9	3	3	3	2	1
1700080O16Rik	1	2	1	0	0	0
1700081H04Rik	1	0	0	0	0	0
1700081H22Rik	0	0	0	0	1	0
1700084C01Rik	213	401	237	466	312	289
1700084E18Rik	6	2	0	2	3	2
1700084F23Rik	1	0	0	1	0	0
1700084J12Rik	2	1	0	0	3	0
1700085B03Rik	3	2	0	0	0	0
1700085C21Rik	1	2	0	3	0	1
1700086L19Rik	44	47	40	36	55	38
1700086O06Rik	4	8	17	7	8	5
1700088E04Rik	17	16	13	13	8	6
1700091E21Rik	0	1	0	0	0	0
1700091H14Rik	15	6	8	15	11	4
1700092C02Rik	0	0	0	0	0	2
1700092C10Rik	0	0	0	0	0	0
1700092E19Rik	1	0	0	0	0	0
1700092K14Rik	1	0	0	4	2	0
1700092M07Rik	1	1	0	1	0	1
1700093K21Rik	5	8	2	6	5	5
1700094D03Rik	46	68	43	54	68	59
1700094J05Rik	0	0	0	3	0	0
1700094M24Rik	0	1	0	0	0	0
1700095A21Rik	2	4	0	0	0	1
1700095B10Rik	0	0	0	0	0	0
1700095B22Rik	1	1	1	7	6	2
1700096J18Rik	1	0	0	0	0	3
1700096K18Rik	13	18	34	22	17	13
1700097N02Rik	0	1	1	0	0	0
1700100L14Rik	3	2	0	1	2	0
1700101E01Rik	2	11	8	7	6	1
1700101I11Rik	4	0	1	2	1	0
1700101O22Rik	0	0	0	1	0	0
1700102H20Rik	1	0	1	4	2	4
1700102P08Rik	6	6	4	3	7	0
1700104A03Rik	0	2	1	0	1	1
1700105P06Rik	6	2	9	5	3	6
1700106J16Rik	0	2	0	0	1	1
1700108F19Rik	1	0	0	4	1	2
1700108J01Rik	2	1	0	2	1	0
1700109F18Rik	0	0	0	0	0	0
1700109G14Rik	0	0	0	1	0	1
1700109G15Rik	0	2	0	0	0	0
1700109H08Rik	11	8	6	28	11	10
1700109I08Rik	0	0	0	0	1	0
1700110C19Rik	1	9	1	12	9	5
1700110I01Rik	0	0	0	0	0	0
1700110K17Rik	5	4	0	3	5	1
1700110M21Rik	0	1	0	1	2	0
1700111N16Rik	0	0	0	1	0	0
1700112E06Rik	0	6	5	6	7	10
1700112H15Rik	0	0	0	0	0	1
1700112J05Rik	0	0	2	0	0	0
1700113A16Rik	12	6	11	18	4	9
1700113H08Rik	1	0	0	0	1	1
1700119H24Rik	0	0	1	0	2	0
1700120C14Rik	1	0	0	1	1	0
1700120E14Rik	3	2	2	4	0	0
1700120G07Rik	0	0	0	0	2	1
1700120K04Rik	2	3	3	0	3	8
1700121L16Rik	0	0	1	0	0	0
1700121N20Rik	0	2	1	0	0	0
1700122O11Rik	2	0	0	0	2	1
1700123I01Rik	4	2	3	6	4	3
1700123K08Rik	2	1	0	2	0	0
1700123L14Rik	10	1	1	3	0	0
1700123M08Rik	9	3	5	9	0	5
1700123O12Rik	0	0	0	0	0	0
1700123O20Rik	59	57	44	59	37	31
1700123O21Rik	2	2	4	0	0	0
1700125G02Rik	1	0	0	0	0	0
1700125G22Rik	0	0	0	0	0	0
1700125H03Rik	6	3	0	3	3	4
1700125H20Rik	2	0	0	1	1	0
1700126H18Rik	0	0	0	0	0	0
1700128A07Rik	0	1	0	4	0	0
1700128F08Rik	14	2	3	15	9	1
1700129C05Rik	0	0	0	2	0	0
1810006J02Rik	2	0	0	0	0	0
1810007C17Rik	0	0	1	0	2	0
1810007D17Rik	1	2	0	0	0	0
1810007I06Rik	0	0	0	0	0	2
1810008I18Rik	0	0	2	2	0	2
1810009A15Rik	81	127	96	104	80	117
1810009J06Rik	0	0	0	0	0	0
1810010D01Rik	1	3	0	6	3	2
1810010H24Rik	13	17	13	13	11	11
1810011H11Rik	4	8	8	13	4	8
1810011O10Rik	135	116	115	102	85	124
1810012K16Rik	1	1	1	0	1	1
1810013A23Rik	3	0	0	3	0	1
1810013D10Rik	57	87	71	114	77	102
1810013L24Rik	264	299	231	342	296	278
1810014B01Rik	19	28	16	27	15	26
1810018F18Rik	0	0	0	0	0	0
1810019D21Rik	2	0	2	0	0	0
1810019J16Rik	0	0	0	3	0	1
1810020O05Rik	7	2	3	7	5	6
1810021B22Rik	2	6	3	1	7	4
1810022K09Rik	218	281	228	275	267	266
1810024B03Rik	2	4	3	2	2	5
1810026B05Rik	119	135	113	152	135	91
1810026J23Rik	243	299	215	257	254	194
1810030O07Rik	211	250	183	242	210	209
1810032O08Rik	9	7	8	12	11	5
1810033B17Rik	13	7	4	2	6	9
1810034E14Rik	11	15	11	15	8	7
1810035I16Rik	0	0	0	0	0	0
1810037I17Rik	117	158	116	224	150	121
1810041L15Rik	136	129	77	103	173	120
1810043G02Rik	117	145	139	145	128	113
1810043H04Rik	43	71	56	77	47	69
1810044D09Rik	1	1	0	5	1	1
1810046K07Rik	2	1	1	1	0	0
1810053B23Rik	0	4	1	2	4	1
1810055G02Rik	202	246	206	238	201	197
1810058I24Rik	67	95	71	109	79	78
1810062G17Rik	2	3	0	3	0	3
1810062O18Rik	17	11	5	27	10	13
1810064F22Rik	3	7	3	0	1	1
1810065E05Rik	0	1	0	0	1	0
2010001E11Rik	6	9	13	15	2	5
2010001M06Rik	17	23	18	13	12	15
2010002M12Rik	12	7	6	19	12	7
2010003K11Rik	0	0	1	2	0	1
2010003O02Rik	6	8	9	6	11	4
2010005H15Rik	0	2	0	0	1	0
2010009K17Rik	1	1	1	1	1	1
2010010A06Rik	0	0	0	3	1	0
2010012O05Rik	53	102	65	103	69	70
2010015L04Rik	195	209	134	192	180	186
2010016I18Rik	1	0	0	2	0	3
2010106C02Rik	1	0	2	2	0	1
2010106E10Rik	0	0	0	0	0	0
2010107E04Rik	156	201	160	195	183	157
2010107G12Rik	5	2	3	7	2	2
2010107G23Rik	22	28	17	11	22	11
2010109A12Rik	3	1	6	0	5	1
2010109I03Rik	5	4	7	1	5	6
2010111I01Rik	64	74	58	60	60	56
2010204K13Rik	23	17	15	6	20	14
2010300C02Rik	332	61	45	52	57	39
2010308F09Rik	0	0	0	0	0	0
2010310C07Rik	0	2	1	1	2	0
2010315B03Rik	79	141	74	160	131	103
2010320M18Rik	33	78	47	39	34	47
2200002D01Rik	8	8	14	9	4	3
2200002J24Rik	0	1	0	0	0	1
2210010C04Rik	3	2	0	0	1	1
2210013O21Rik	54	77	46	63	54	60
2210015D19Rik	88	104	69	131	83	84
2210016F16Rik	89	163	130	139	128	120
2210016L21Rik	255	281	246	248	282	271
2210018M11Rik	420	430	331	511	392	381
2210019I11Rik	1	0	1	0	0	0
2210039B01Rik	53	56	33	47	36	38
2210404J11Rik	57	45	39	65	52	61
2210404O07Rik	10	28	12	18	8	15
2210404O09Rik	58	73	64	73	52	69
2210407C18Rik	0	0	0	0	0	0
2210408F21Rik	38	28	25	38	24	23
2210408I21Rik	54	91	59	72	61	56
2210409D07Rik	1	0	1	1	0	1
2210409E12Rik	0	0	0	0	0	0
2210414B05Rik	0	0	1	0	0	0
2210416O15Rik	8	15	8	17	11	15
2210417A02Rik	1	2	0	0	0	0
2210417K05Rik	3	7	2	4	6	3
2210420H20Rik	0	1	0	1	0	1
2300002M23Rik	1	0	0	0	0	0
2300003K06Rik	0	1	0	0	0	0
2300005B03Rik	0	0	0	0	0	0
2300009A05Rik	18	20	19	20	26	16
2310001H17Rik	1	4	4	6	7	4
2310001K24Rik	0	0	0	0	0	0
2310002D06Rik	6	7	3	0	5	2
2310002F09Rik	1	0	0	0	0	1
2310002J15Rik	0	0	0	0	0	0
2310002L09Rik	0	0	1	0	0	0
2310003H01Rik	38	44	39	47	34	45
2310005A03Rik	0	5	2	2	0	1
2310005E17Rik	19	29	6	19	24	17
2310005G13Rik	2	3	2	2	1	1
2310007B03Rik	0	0	1	1	0	1
2310007L24Rik	6	8	4	1	4	2
2310008H04Rik	94	101	119	156	124	92
2310008H09Rik	285	302	262	346	280	287
2310008N11Rik	3	1	0	0	0	0
2310009A05Rik	16	27	22	26	23	12
2310009B15Rik	13	18	21	23	20	25
2310010J17Rik	5	9	4	5	7	5
2310010M20Rik	54	44	31	44	35	34
2310011J03Rik	46	73	82	69	46	61
2310014F07Rik	1	0	0	0	1	3
2310014L17Rik	17	19	28	22	18	33
2310015A10Rik	84	155	103	148	128	123
2310015B20Rik	2	14	3	2	0	10
2310015D24Rik	0	2	0	0	0	1
2310016D03Rik	1	0	3	0	0	0
2310020H05Rik	0	0	0	0	0	0
2310022A10Rik	62	57	56	82	51	54
2310022B05Rik	730	1077	725	1181	1060	1194
2310030A07Rik	1	0	0	0	0	0
2310030G06Rik	8	26	24	15	16	19
2310033P09Rik	111	136	132	135	124	120
2310034C09Rik	1	0	1	0	0	0
2310034G01Rik	2	10	3	6	5	5
2310034O05Rik	0	0	0	3	0	0
2310035C23Rik	397	396	301	489	405	416
2310036O22Rik	394	503	407	478	482	463
2310039H08Rik	16	15	21	10	15	16
2310039L15Rik	50	42	29	42	50	40
2310040G24Rik	2	7	6	5	4	6
2310042D19Rik	31	31	12	25	15	14
2310042E22Rik	0	0	1	4	0	2
2310043L19Rik	1	1	0	2	0	0
2310043O21Rik	0	0	0	0	0	0
2310044G17Rik	325	349	278	532	388	367
2310045N01Rik	95	122	109	144	83	110
2310047M10Rik	55	76	80	59	63	67
2310050B05Rik	3	2	1	1	2	1
2310050C09Rik	0	0	0	0	1	0
2310057J18Rik	0	0	0	4	0	0
2310057M21Rik	47	81	66	81	58	52
2310057N15Rik	1	0	0	1	2	0
2310061I04Rik	91	128	78	114	98	67
2310061J03Rik	6	14	8	8	6	14
2310061N02Rik	1	0	0	1	0	0
2310065F04Rik	2	5	3	3	1	1
2310067B10Rik	249	260	199	319	287	227
2310068J16Rik	7	6	2	7	3	2
2310069B03Rik	0	1	0	0	0	0
2310069G16Rik	16	3	10	18	11	9
2310079G19Rik	1	0	0	0	1	1
2310081J21Rik	0	0	0	0	0	0
2410002F23Rik	92	148	90	148	89	102
2410003L11Rik	0	0	1	2	1	0
2410004B18Rik	78	127	100	105	85	116
2410004I01Rik	5	2	1	5	0	2
2410004N09Rik	16	17	17	17	11	22
2410004P03Rik	32	48	42	31	36	32
2410006H16Rik	70	101	73	85	67	57
2410007B07Rik	1	6	3	1	0	5
2410012E07Rik	0	5	1	0	0	2
2410012M07Rik	2	0	0	0	0	0
2410015M20Rik	64	99	93	104	79	65
2410016O06Rik	14	21	25	22	12	8
2410017I17Rik	0	2	0	0	0	0
2410018L13Rik	23	21	11	14	22	10
2410018M08Rik	8	17	12	15	5	24
2410021H03Rik	6	14	11	18	13	13
2410057H14Rik	2	1	3	5	0	10
2410066E13Rik	98	140	104	121	92	97
2410076I21Rik	3	4	4	4	2	3
2410088K16Rik	0	0	1	0	0	0
2410089E03Rik	579	595	441	619	567	490
2410114N07Rik	0	1	0	0	0	0
2410124H12Rik	0	0	0	0	0	0
2410127L17Rik	105	173	131	169	211	157
2410131K14Rik	71	90	71	88	89	69
2410137F16Rik	26	34	16	13	29	15
2410137M14Rik	0	0	1	0	0	0
2410141K09Rik	1	0	0	1	0	0
2500004C02Rik	47	34	29	17	23	36
2510002D24Rik	74	72	45	95	71	87
2510003D18Rik	0	1	0	0	0	0
2510003E04Rik	623	777	585	801	634	765
2510009E07Rik	521	634	448	916	650	648
2510039O18Rik	117	126	124	138	126	120
2510049J12Rik	7	3	3	3	6	6
2600006L11Rik	0	1	0	0	2	0
2610001J05Rik	76	145	132	136	111	117
2610002J02Rik	19	31	21	32	32	30
2610002M06Rik	168	193	147	217	196	166
